ID,Class,Enroll Count,Session,Meeting Days,Meeting Times,Room,Instructor
MTSE3000_003,Fundamentals of Materials Science and Engineering,10,08/19/2024 - 12/13/2024,Monday Wednesday,2:30PM to 3:50PM,NTDP B190,"Aouadi,Samir M"
MTSE3000_006,Fundamentals of Materials Science and Engineering,16,08/19/2024 - 12/13/2024,Monday Wednesday,11:30AM to 12:50PM,NTDP B157,"Kaul,Anupama Bhat"
MTSE3003_001,Fundamentals of Materials Science and Engineering,14,08/19/2024 - 12/13/2024,Monday,2:30PM to 5:20PM,NTDP  D207A,"Berman,Diana"
MTSE3003_002,Fundamentals of Materials Science and Engineering,7,08/19/2024 - 12/13/2024,Tuesday,2:30PM to 5:20PM,NTDP  D207A,"Berman,Diana"
MTSE3010_007,Bonding and Structure,20,08/19/2024 - 12/13/2024,Tuesday Thursday,4:00PM to 5:20PM,NTDP B190,"Scharf,Thomas W"
MTSE3020_005,Microstructure and Characterization of Materials,12,08/19/2024 - 12/13/2024,Tuesday Thursday,2:30PM to 3:50PM,NTDP D202,"El Bouanani,Mohamed"
MTSE3030_010,Thermodynamics and Phase Diagrams,11,08/19/2024 - 12/13/2024,Monday Wednesday,9:30AM to 10:50AM,NTDP B157,"Du,Jincheng"
MTSE3040_003,Transport Phenomena in Materials,8,08/19/2024 - 12/13/2024,Tuesday Thursday,11:30AM to 12:50PM,NTDP B157,"Srivilliputhur,Srinivasan G."
MTSE3090_006,Materials Science and Engineering Laboratory I,8,08/19/2024 - 12/13/2024,Friday,9:30AM to 12:20PM,NTDP B158,"Li,Xiao"
MTSE4010_006,Physical Metallurgy,9,08/19/2024 - 12/13/2024,Tuesday Thursday,10:00AM to 11:20AM,NTDP D212,"Mukherjee,Sundeep"
MTSE4030_004,Ceramics Science and Engineering,7,08/19/2024 - 12/13/2024,Tuesday Thursday,8:30AM to 9:50AM,NTDP B157,"Reidy III,Rick F"
MTSE4060_010,Materials Science and Performance,16,08/19/2024 - 12/13/2024,Monday Wednesday,8:30AM to 9:50AM,NTDP B142,"Joshi,Sameehan Shrikant"
MTSE4090_008,Senior Design I,15,08/19/2024 - 12/13/2024,Tuesday Thursday,1:00PM to 2:20PM,NTDP B158,"Burford,Dwight Aaron"
MTSE5000_010,Thermodynamics of Materials,17,08/19/2024 - 12/13/2024,Monday Wednesday,10:00AM to 11:20AM,NTDP B158,None
MTSE5000_601,Thermodynamics of Materials,0,08/19/2024 - 12/13/2024,Monday Wednesday,10:00AM to 11:20AM,NTDP D202,"Srivilliputhur,Srinivasan G."
MTSE5010_007,"Bonding, Structure, and Crystallography",15,08/19/2024 - 12/13/2024,Tuesday Thursday,5:30PM to 6:50PM,NTDP B157,"Scharf,Thomas W"
MTSE5010_601,"Bonding, Structure, and Crystallography",1,08/19/2024 - 12/13/2024,Tuesday Thursday,5:30PM to 6:50PM,NTDP B157,"Scharf,Thomas W"
MTSE5100_001,Fundamental Concepts of Materials Science,4,08/19/2024 - 12/13/2024,Tuesday Thursday,2:30PM to 3:50PM,NTDP B190,"Young,Marcus Lynn"
MTSE5100_006,Fundamental Concepts of Materials Science,5,08/19/2024 - 12/13/2024,Monday Wednesday,11:30AM to 12:50PM,NTDP B157,"Kaul,Anupama Bhat"
MTSE5100_007,Fundamental Concepts of Materials Science,5,08/19/2024 - 12/13/2024,Monday Wednesday,2:30PM to 3:50PM,NTDP B190,"Aouadi,Samir M"
MTSE5200_018,Advanced Concepts of Metallurgical Science,5,08/19/2024 - 12/13/2024,Tuesday Thursday,10:00AM to 11:20AM,NTDP D212,"Mukherjee,Sundeep"
MTSE5200_618,Advanced Concepts of Metallurgical Science,9,08/19/2024 - 12/13/2024,Tuesday Thursday,10:00AM to 11:20AM,NTDP D212,"Mukherjee,Sundeep"
MTSE5300_004,Science and Technology of Modern Ceramics,4,08/19/2024 - 12/13/2024,Tuesday Thursday,8:30AM to 9:50AM,NTDP B157,"Reidy III,Rick F"
